Collectible,IPFS_URL
Wayne Gretzky,ipfs://bafyreib6mpqau2amz2ilmcxpbkyabolr5xt4szxxy75rkgyffoc6dnjcta/metadata.json
Leslie Claudius,ipfs://bafyreiegozl4lmltipyngbkhgh2uoslw5yqvzlaqvpa2ok3stw4pxkm3qi/metadata.json
Alexander Ovechkin,ipfs://bafyreigkelgeakhkemd76fcjpee4c4ej6wy4d6g2gjgh5wt4had3hir2k4/metadata.json
Sidney Crosby,ipfs://bafyreic5wa7gr6p4tf7o4jibvg6rzmtnym24ayj5t3oca3fksjbn76mh5u/metadata.json
Terry Sawchuk,ipfs://bafyreibdfbx27xod7bb6ug6u37hm4y54zl6egoleysuqsvtaynhmuqnzyi/metadata.json
Steve Yzerman,ipfs://bafyreic4exqezo4pthsbdf4zlfezabqmhp4cnjhtq4gejlf7bmrt3o6z5e/metadata.json
Bobby Orr,ipfs://bafyreidzrbm7exl4ekfs4kwi4ka4upf3uoqckvmn536fhsgpxsp5hfp4yq/metadata.json
Jaromir Jagr,ipfs://bafyreid47rkxurlrdye7hfjkmtkf26hdbrpfugf4kspzx7kh2l3ha6c2fu/metadata.json
Dominik Hasek,ipfs://bafyreicph43bx6edcs5dxkky22jmxjjub4vnz2aitlg3bsamtfhewpxidu/metadata.json
Joe Pavelski,ipfs://bafyreigf37ffboyzlpclwx2qeokmetoeasvy3r5lojgyxxt5v43mnelxaa/metadata.json
